time	conversion	overall_conversion
3107.64	0.398149	0.398149
3117.84	0.399489	0.399489
3127.84	0.403603	0.403603
3138.35	0.406261	0.406261
3151.79	0.406643	0.406643
3162.1	0.407735	0.407735
3172.47	0.410789	0.410789
3182.47	0.414883	0.414883
3192.47	0.420676	0.420676
3202.47	0.424986	0.424986
3212.9	0.428599	0.428599
3223.73	0.431185	0.431185
3233.93	0.43162	0.43162
3244.55	0.431953	0.431953
3254.55	0.434251	0.434251
3264.55	0.439676	0.439676
3274.55	0.444498	0.444498
3284.55	0.449631	0.449631
3294.55	0.455019	0.455019
3304.55	0.461171	0.461171
3315.31	0.467082	0.467082
3325.34	0.467666	0.467666
3336.36	0.469463	0.469463
3346.36	0.475325	0.475325
3356.36	0.479146	0.479146
3366.56	0.479812	0.479812
3376.56	0.485356	0.485356
3386.56	0.491956	0.491956
3396.56	0.498848	0.498848
3406.79	0.500704	0.500704
3416.79	0.50121	0.50121
3426.79	0.506092	0.506092
3436.79	0.512555	0.512555
3446.79	0.519949	0.519949
3456.79	0.530913	0.530913
3466.79	0.536451	0.536451
3476.79	0.53763	0.53763
3486.79	0.538741	0.538741
3496.79	0.539872	0.539872
3506.79	0.540993	0.540993
3516.79	0.542084	0.542084
3526.79	0.543168	0.543168
3536.79	0.544252	0.544252
3546.79	0.545341	0.545341
3556.79	0.546435	0.546435
3566.79	0.547517	0.547517
3576.79	0.548564	0.548564
3586.79	0.549605	0.549605
3596.79	0.550637	0.550637
3606.79	0.551662	0.551662
3616.79	0.552686	0.552686
3626.79	0.55372	0.55372
3636.79	0.554741	0.554741
3646.79	0.555741	0.555741
3656.79	0.556725	0.556725
3666.79	0.557726	0.557726
3676.79	0.558727	0.558727
3686.79	0.559727	0.559727
3696.79	0.560726	0.560726
3706.79	0.56173	0.56173
3716.79	0.562717	0.562717
3726.79	0.563691	0.563691
3736.79	0.564675	0.564675
3746.79	0.565658	0.565658
3756.79	0.566637	0.566637
3766.79	0.56761	0.56761
3776.79	0.568565	0.568565
3786.79	0.569521	0.569521
3796.79	0.570471	0.570471
3806.79	0.571414	0.571414
3816.79	0.572369	0.572369
3826.79	0.57332	0.57332
3836.79	0.574266	0.574266
3846.79	0.575188	0.575188
3856.79	0.576103	0.576103
3866.79	0.577042	0.577042
3876.79	0.577968	0.577968
3886.79	0.578873	0.578873
3896.79	0.579758	0.579758
3906.79	0.580659	0.580659
3916.79	0.581567	0.581567
3926.79	0.582462	0.582462
3936.79	0.583344	0.583344
3946.79	0.584228	0.584228
3956.79	0.585108	0.585108
3966.79	0.585989	0.585989
3976.79	0.586861	0.586861
3986.8	0.587728	0.587728
3996.8	0.588598	0.588598
4006.8	0.589456	0.589456
4016.8	0.590314	0.590314
4026.8	0.591181	0.591181
4036.8	0.592031	0.592031
4046.8	0.592894	0.592894
4056.8	0.593757	0.593757
4066.8	0.594608	0.594608
4076.8	0.595442	0.595442
4086.8	0.596276	0.596276
4096.8	0.597118	0.597118
4106.8	0.597958	0.597958
4116.8	0.598783	0.598783
4126.8	0.599611	0.599611
4136.8	0.60043	0.60043
4146.8	0.601245	0.601245
4156.8	0.602059	0.602059
4166.8	0.602875	0.602875
4176.8	0.603683	0.603683
4186.8	0.604487	0.604487
4196.8	0.60528	0.60528
4206.8	0.606078	0.606078
4216.8	0.606867	0.606867
4226.8	0.60765	0.60765
4236.8	0.608435	0.608435
4246.8	0.609219	0.609219
4256.8	0.609995	0.609995
4266.8	0.610773	0.610773
4276.8	0.611542	0.611542
4286.8	0.612302	0.612302
4296.8	0.613069	0.613069
4306.8	0.613836	0.613836
4316.8	0.614595	0.614595
4326.8	0.615351	0.615351
4336.8	0.616107	0.616107
4346.8	0.61685	0.61685
4356.8	0.617598	0.617598
4366.8	0.618347	0.618347
4376.8	0.619092	0.619092
4386.8	0.61983	0.61983
