conversion	Mn	Mw
0.570471	225447	1.01755e+06
0.571414	225566	1.01662e+06
0.572369	225660	1.01569e+06
0.57332	225737	1.01478e+06
0.574266	225457	1.01384e+06
0.575188	225375	1.01291e+06
0.576103	225380	1.012e+06
0.577042	225334	1.01106e+06
0.577968	225166	1.01014e+06
0.578873	224787	1.00923e+06
0.579758	224621	1.00833e+06
0.580659	224591	1.00742e+06
0.581567	224449	1.00651e+06
0.582462	224259	1.00561e+06
0.583344	224195	1.00472e+06
0.584228	224002	1.00383e+06
0.585108	223966	1.00295e+06
0.585989	223874	1.00206e+06
0.586861	223778	1.00119e+06
0.587728	223738	1.00032e+06
0.588598	223713	999449
0.589456	223613	998590
0.590314	223556	997741
0.591181	223615	996885
0.592031	223823	996051
0.592894	223895	995209
0.593757	223698	994375
0.594608	223512	993544
0.595442	223446	992729
0.596276	223479	991924
0.597118	223584	991109
0.597958	223424	990310
0.598783	223313	989521
0.599611	223330	988732
0.60043	223218	987948
0.601245	223299	987185
0.602059	223213	986417
0.602875	223059	985647
0.603683	223027	984883
0.604487	222857	984122
0.60528	222764	983376
0.606078	222675	982627
0.606867	222431	981893
0.60765	222501	981158
0.608435	222624	980424
0.609219	222476	979696
0.609995	222352	978973
0.610773	222324	978250
0.611542	222050	977537
0.612302	222083	976833
0.613069	222200	976125
0.613836	222182	975419
0.614595	222133	974728
0.615351	221911	974041
0.616107	221889	973349
0.61685	221996	972675
0.617598	221945	971998
0.618347	221974	971319
0.619092	221962	970645
0.61983	221987	969980
0.620562	221917	969328
0.621302	221876	968670
0.622029	221567	968021
0.622746	221533	967376
0.62347	221619	966735
0.624186	221505	966104
0.624908	221328	965467
0.625615	221081	964840
0.626323	220900	964214
0.62702	220860	963598
0.627717	220702	962980
0.628409	220595	962366
0.629102	220451	961750
0.629792	220473	961140
0.630481	220405	960528
0.631165	220399	959922
0.631854	220344	959321
0.63254	220454	958727
0.633221	220409	958127
0.633901	220595	957534
0.634581	220549	956942
0.635259	220554	956352
0.635934	220558	955776
0.636601	220610	955204
0.637267	220534	954630
0.637934	220434	954060
0.638596	220472	953495
0.639252	220367	952939
0.639895	220411	952390
0.640549	220306	951833
0.641197	220225	951284
0.641838	220066	950748
0.642479	220059	950204
0.643112	219923	949673
0.64374	219661	949143
0.644373	219414	948606
0.644995	219376	948080
0.645617	219251	947554
0.646236	219101	947032
0.646854	219111	946506
0.647466	219058	945988
0.648082	219056	945468
0.648686	218939	944958
0.649291	218920	944448
0.6499	218829	943941
0.650505	218738	943438
0.651108	218609	942934
0.651712	218456	942429
0.652305	218508	941935
0.652898	218340	941438
0.65349	218196	940940
0.654083	218078	940448
0.654674	218032	939953
0.655257	217983	939468
0.655836	217861	938988
0.656415	217860	938509
0.656991	217809	938032
0.657568	217602	937551
0.658134	217585	937081
0.658703	217653	936608
0.65927	217576	936140
0.65984	217620	935670
0.660407	217615	935204
0.660973	217550	934737
0.661526	217397	934281
0.662087	217402	933822
0.662644	217442	933367
0.663199	217373	932916
0.663748	217268	932467
0.664299	217163	932018
0.664847	217010	931568
