conversion num_unsaturated num_saturated num_HHbond
0.403603 5633 5328 1930
0.406261 5653 5347 1934
0.406643 5665 5359 1943
0.407735 5681 5375 1949
0.410789 5695 5386 1952
0.414883 5711 5400 1958
0.420676 5730 5416 1964
0.424986 5749 5432 1968
0.428599 5762 5443 1976
0.431185 5777 5454 1986
0.43162 5793 5469 1990
0.431953 5805 5480 1997
0.434251 5822 5496 2001
0.439676 5832 5504 2005
0.444498 5849 5518 2009
0.449631 5874 5538 2012
0.455019 5893 5553 2019
0.461171 5918 5570 2024
0.467082 5936 5584 2031
0.467666 5948 5594 2033
0.469463 5966 5612 2038
0.475325 5982 5626 2044
0.479146 6001 5642 2048
0.479812 6015 5655 2056
0.485356 6035 5671 2060
0.491956 6061 5695 2068
0.498848 6077 5705 2079
0.500704 6100 5723 2086
0.50121 6111 5733 2089
0.506092 6127 5747 2091
0.512555 6148 5760 2097
0.519949 6165 5772 2107
0.530913 6184 5785 2113
0.536451 6200 5796 2114
0.53763 6201 5796 2114
0.538741 6202 5797 2116
0.539872 6204 5799 2116
0.540993 6209 5803 2116
0.542084 6210 5803 2117
0.543168 6216 5806 2117
0.544252 6219 5807 2120
0.545341 6221 5808 2120
0.546435 6222 5809 2121
0.547517 6222 5809 2121
0.548564 6224 5811 2122
0.549605 6228 5815 2123
0.550637 6232 5817 2123
0.551662 6233 5818 2124
0.552686 6235 5819 2125
0.55372 6238 5821 2127
0.554741 6238 5821 2127
0.555741 6241 5823 2127
0.556725 6242 5823 2129
0.557726 6245 5825 2130
0.558727 6249 5826 2130
0.559727 6254 5829 2132
0.560726 6255 5830 2133
0.56173 6259 5833 2133
0.562717 6265 5835 2134
0.563691 6267 5837 2137
0.564675 6268 5838 2137
0.565658 6270 5838 2139
0.566637 6271 5838 2139
0.56761 6272 5838 2139
0.568565 6273 5839 2141
0.569521 6275 5839 2142
0.570471 6280 5843 2142
0.571414 6284 5846 2144
0.572369 6285 5846 2144
0.57332 6285 5846 2144
0.574266 6286 5846 2145
0.575188 6289 5848 2146
